unique_id,station_id,update,available_bikes,empty_docks,capacity
58,Station_4,2022-01-12 02:18:00,11,12,20
59,Station_10,2022-01-09 17:09:00,4,16,20
60,Station_10,2022-01-08 15:50:00,10,6,20
61,Station_7,2022-01-05 10:17:00,1,17,20
62,Station_5,2022-01-20 08:32:00,18,18,20
63,Station_6,2022-01-23 11:08:00,8,2,20
64,Station_2,2022-01-30 22:24:00,1,11,20
65,Station_6,2022-01-22 04:10:00,18,0,20
66,Station_4,2022-01-06 23:37:00,2,17,20
67,Station_10,2022-01-03 18:16:00,0,2,20
68,Station_1,2022-01-16 22:33:00,12,8,20
69,Station_4,2022-01-16 21:17:00,1,11,20
70,Station_4,2022-01-29 04:28:00,0,3,20
71,Station_9,2022-01-20 03:40:00,18,4,20
72,Station_3,2022-01-25 07:00:00,8,13,20
73,Station_6,2022-01-25 16:04:00,19,8,20
74,Station_8,2022-01-16 11:03:00,8,1,20
75,Station_8,2022-01-30 04:43:00,8,14,20
76,Station_4,2022-01-06 03:50:00,8,18,20
77,Station_2,2022-01-12 05:02:00,14,1,20
78,Station_4,2022-01-28 20:34:00,5,6,20
79,Station_10,2022-01-22 21:03:00,15,17,20
80,Station_1,2022-01-11 20:08:00,10,16,20
81,Station_6,2022-01-01 16:53:00,15,10,20
82,Station_2,2022-01-09 22:05:00,12,16,20
83,Station_2,2022-01-21 23:55:00,14,16,20
84,Station_3,2022-01-03 16:09:00,2,14,20
85,Station_3,2022-01-02 05:23:00,1,13,20
86,Station_9,2022-01-18 08:11:00,13,18,20
87,Station_5,2022-01-01 10:30:00,12,16,20
88,Station_4,2022-01-05 06:08:00,19,18,20
89,Station_4,2022-01-16 14:59:00,10,3,20
90,Station_1,2022-01-14 12:07:00,16,15,20
91,Station_3,2022-01-23 08:36:00,2,6,20
92,Station_9,2022-01-13 03:03:00,7,3,20
93,Station_10,2022-01-03 02:35:00,12,3,20
94,Station_1,2022-01-12 11:21:00,4,13,20
95,Station_9,2022-01-26 06:52:00,10,9,20
96,Station_9,2022-01-09 02:49:00,1,17,20
97,Station_1,2022-01-07 16:56:00,14,15,20
98,Station_3,2022-01-05 10:29:00,5,0,20
99,Station_8,2022-01-06 14:40:00,0,8,20
100,Station_3,2022-01-29 21:30:00,10,6,20
101,Station_10,2022-01-09 00:32:00,9,14,20
102,Station_9,2022-01-14 20:38:00,0,1,20
103,Station_4,2022-01-28 17:05:00,14,12,20
104,Station_9,2022-01-20 23:58:00,18,19,20
105,Station_2,2022-01-27 02:34:00,15,0,20
106,Station_3,2022-01-10 00:09:00,14,9,20
107,Station_10,2022-01-24 14:06:00,19,11,20
108,Station_7,2022-01-12 13:10:00,11,0,20
109,Station_6,2022-01-29 00:11:00,19,15,20
110,Station_4,2022-01-08 19:35:00,11,15,20
111,Station_5,2022-01-08 19:23:00,3,3,20
112,Station_8,2022-01-16 13:13:00,19,4,20
113,Station_8,2022-01-26 12:12:00,10,0,20
114,Station_5,2022-01-21 21:52:00,10,5,20
115,Station_7,2022-01-06 16:08:00,8,5,20
116,Station_7,2022-01-29 08:53:00,2,8,20
117,Station_3,2022-01-15 02:20:00,11,18,20
118,Station_5,2022-01-28 09:21:00,5,13,20
119,Station_10,2022-01-14 00:37:00,8,10,20
120,Station_9,2022-01-16 11:11:00,9,17,20
121,Station_9,2022-01-24 20:28:00,11,1,20
122,Station_5,2022-01-11 21:23:00,3,13,20
123,Station_3,2022-01-05 02:07:00,5,19,20
124,Station_10,2022-01-01 17:48:00,16,2,20
125,Station_2,2022-01-19 19:25:00,5,13,20
126,Station_3,2022-01-23 13:51:00,10,12,20
127,Station_6,2022-01-26 04:01:00,8,13,20
128,Station_2,2022-01-23 20:33:00,2,2,20
129,Station_6,2022-01-15 02:57:00,13,2,20
130,Station_3,2022-01-25 10:50:00,15,14,20
131,Station_5,2022-01-28 06:41:00,8,11,20
132,Station_1,2022-01-16 01:33:00,1,1,20
133,Station_4,2022-01-01 08:26:00,14,10,20
134,Station_10,2022-01-29 00:18:00,3,12,20
135,Station_9,2022-01-15 12:15:00,14,11,20
136,Station_2,2022-01-14 06:19:00,6,13,20
137,Station_2,2022-01-26 22:44:00,13,0,20
138,Station_1,2022-01-06 21:45:00,6,10,20
139,Station_5,2022-01-11 16:42:00,19,4,20
140,Station_9,2022-01-04 07:54:00,12,18,20
141,Station_5,2022-01-07 00:19:00,15,19,20
142,Station_8,2022-01-24 14:56:00,0,3,20
143,Station_6,2022-01-28 00:26:00,4,12,20
144,Station_1,2022-01-15 15:46:00,2,0,20
145,Station_6,2022-01-29 22:09:00,0,11,20
146,Station_8,2022-01-24 14:16:00,10,1,20
147,Station_4,2022-01-04 02:04:00,12,19,20
148,Station_2,2022-01-09 10:16:00,15,2,20
149,Station_5,2022-01-01 08:53:00,2,7,20
150,Station_4,2022-01-28 02:20:00,5,9,20
151,Station_9,2022-01-26 11:14:00,2,1,20
152,Station_10,2022-01-01 19:54:00,16,6,20
153,Station_2,2022-01-30 23:41:00,11,19,20
154,Station_4,2022-01-29 22:59:00,18,2,20
155,Station_3,2022-01-21 22:58:00,6,11,20
156,Station_10,2022-01-17 19:21:00,8,3,20
157,Station_2,2022-01-15 10:19:00,16,14,20
158,Station_9,2022-01-27 18:37:00,10,7,20
159,Station_3,2022-01-15 08:22:00,13,16,20
160,Station_3,2022-01-03 06:28:00,19,13,20
161,Station_3,2022-01-20 16:10:00,6,17,20
162,Station_2,2022-01-27 12:40:00,0,7,20
163,Station_1,2022-01-18 22:37:00,0,9,20
164,Station_4,2022-01-09 19:49:00,16,0,20
165,Station_9,2022-01-22 15:03:00,0,15,20
166,Station_5,2022-01-08 04:02:00,4,14,20
167,Station_8,2022-01-17 15:22:00,9,12,20
168,Station_3,2022-01-19 12:22:00,13,4,20
169,Station_1,2022-01-25 07:07:00,12,17,20
170,Station_6,2022-01-17 20:52:00,18,13,20
171,Station_8,2022-01-13 09:09:00,19,5,20
172,Station_5,2022-01-29 13:34:00,3,15,20
173,Station_5,2022-01-28 01:36:00,4,4,20
174,Station_9,2022-01-19 11:11:00,1,6,20
175,Station_1,2022-01-22 00:05:00,6,13,20
176,Station_8,2022-01-11 08:12:00,14,2,20
177,Station_10,2022-01-02 16:41:00,6,6,20
178,Station_1,2022-01-26 00:09:00,5,2,20
179,Station_8,2022-01-24 21:20:00,8,18,20
180,Station_3,2022-01-05 13:12:00,7,3,20
181,Station_4,2022-01-21 03:23:00,6,18,20
182,Station_10,2022-01-17 06:45:00,10,4,20
183,Station_6,2022-01-17 16:45:00,8,18,20
184,Station_9,2022-01-27 15:39:00,3,2,20
185,Station_9,2022-01-22 05:54:00,8,2,20
186,Station_3,2022-01-06 21:42:00,17,3,20
187,Station_2,2022-01-13 15:08:00,19,4,20
188,Station_1,2022-01-14 10:38:00,9,0,20
189,Station_7,2022-01-13 20:38:00,11,15,20
190,Station_1,2022-01-27 21:27:00,15,6,20
191,Station_9,2022-01-22 16:22:00,5,5,20
192,Station_7,2022-01-21 10:08:00,5,3,20
193,Station_7,2022-01-06 00:28:00,2,18,20
194,Station_3,2022-01-22 08:38:00,4,12,20
195,Station_8,2022-01-27 07:31:00,16,0,20
196,Station_5,2022-01-16 20:36:00,17,6,20
197,Station_9,2022-01-22 15:11:00,8,4,20
198,Station_6,2022-01-09 12:26:00,16,0,20
199,Station_7,2022-01-18 04:06:00,7,19,20
200,Station_6,2022-01-29 02:07:00,6,3,20
201,Station_6,2022-01-19 02:23:00,11,17,20
202,Station_9,2022-01-12 08:45:00,7,15,20
203,Station_8,2022-01-28 03:35:00,19,18,20
204,Station_6,2022-01-16 21:32:00,12,13,20
205,Station_4,2022-01-02 12:04:00,0,16,20
206,Station_4,2022-01-22 19:47:00,8,12,20
207,Station_5,2022-01-29 12:21:00,19,11,20
208,Station_3,2022-01-26 09:23:00,3,12,20
209,Station_4,2022-01-15 00:30:00,15,19,20
210,Station_7,2022-01-09 23:27:00,6,11,20
211,Station_7,2022-01-06 00:36:00,1,1,20
212,Station_6,2022-01-29 18:29:00,12,15,20
213,Station_6,2022-01-19 21:04:00,17,5,20
214,Station_9,2022-01-07 18:46:00,0,6,20
215,Station_1,2022-01-19 13:12:00,4,8,20
216,Station_7,2022-01-14 13:17:00,1,0,20
217,Station_6,2022-01-08 03:22:00,1,6,20
218,Station_6,2022-01-13 00:44:00,2,8,20
219,Station_8,2022-01-27 16:33:00,1,16,20
220,Station_6,2022-01-09 19:03:00,7,8,20
221,Station_9,2022-01-22 19:07:00,14,8,20
222,Station_8,2022-01-07 11:12:00,13,18,20
223,Station_3,2022-01-22 22:08:00,14,4,20
224,Station_5,2022-01-08 21:19:00,7,2,20
225,Station_1,2022-01-23 06:10:00,8,17,20
226,Station_10,2022-01-18 08:24:00,0,7,20
227,Station_6,2022-01-29 04:06:00,9,12,20
228,Station_10,2022-01-13 21:13:00,14,1,20
229,Station_10,2022-01-22 08:17:00,5,0,20
230,Station_6,2022-01-11 21:35:00,5,8,20
231,Station_3,2022-01-08 07:54:00,10,15,20
232,Station_8,2022-01-19 12:50:00,6,0,20
233,Station_10,2022-01-16 20:05:00,11,7,20
234,Station_1,2022-01-11 20:04:00,14,0,20
235,Station_4,2022-01-07 22:52:00,1,0,20
236,Station_5,2022-01-11 17:15:00,18,13,20
237,Station_6,2022-01-19 20:39:00,4,6,20
238,Station_3,2022-01-12 15:31:00,7,9,20
239,Station_4,2022-01-06 05:06:00,7,11,20
240,Station_9,2022-01-27 20:43:00,19,19,20
241,Station_4,2022-01-27 16:18:00,13,7,20
242,Station_1,2022-01-09 17:22:00,0,7,20
243,Station_6,2022-01-07 00:02:00,9,0,20
244,Station_9,2022-01-22 23:34:00,7,8,20
245,Station_4,2022-01-13 03:57:00,1,14,20
246,Station_3,2022-01-23 18:19:00,19,19,20
247,Station_8,2022-01-11 10:15:00,7,11,20
248,Station_6,2022-01-13 02:21:00,8,1,20
249,Station_9,2022-01-28 20:03:00,9,13,20
250,Station_8,2022-01-14 03:06:00,16,2,20
251,Station_1,2022-01-05 21:26:00,10,8,20
252,Station_3,2022-01-14 02:19:00,15,12,20
253,Station_5,2022-01-25 11:05:00,5,0,20
254,Station_4,2022-01-25 10:19:00,8,10,20
255,Station_2,2022-01-16 19:53:00,14,13,20
256,Station_10,2022-01-05 10:23:00,19,11,20
257,Station_6,2022-01-23 21:52:00,9,15,20
258,Station_7,2022-01-18 11:11:00,7,18,20
259,Station_6,2022-01-10 22:23:00,17,19,20
260,Station_1,2022-01-01 18:22:00,9,3,20
261,Station_4,2022-01-19 03:53:00,8,2,20
262,Station_4,2022-01-21 02:12:00,12,11,20
263,Station_6,2022-01-06 13:35:00,7,13,20
264,Station_8,2022-01-20 19:52:00,10,13,20
265,Station_6,2022-01-09 23:50:00,15,9,20
266,Station_3,2022-01-03 18:18:00,8,18,20
267,Station_10,2022-01-16 23:38:00,6,6,20
268,Station_6,2022-01-12 09:47:00,11,10,20
269,Station_7,2022-01-02 13:57:00,12,2,20
270,Station_2,2022-01-13 00:48:00,1,2,20
271,Station_7,2022-01-10 12:17:00,13,6,20
272,Station_10,2022-01-16 05:19:00,0,18,20
273,Station_1,2022-01-17 10:58:00,7,6,20
274,Station_6,2022-01-28 23:30:00,2,5,20
275,Station_10,2022-01-17 06:18:00,0,1,20
276,Station_3,2022-01-06 21:23:00,5,8,20
277,Station_5,2022-01-21 20:33:00,18,8,20
278,Station_3,2022-01-16 11:20:00,12,10,20
279,Station_1,2022-01-15 22:28:00,18,8,20
280,Station_7,2022-01-20 11:31:00,1,18,20
281,Station_10,2022-01-22 10:10:00,2,17,20
282,Station_6,2022-01-14 02:36:00,17,2,20
283,Station_3,2022-01-01 10:40:00,11,15,20
284,Station_3,2022-01-30 19:50:00,13,7,20
285,Station_4,2022-01-25 22:56:00,12,4,20
286,Station_8,2022-01-30 08:07:00,18,13,20
287,Station_8,2022-01-02 10:03:00,18,14,20
288,Station_5,2022-01-23 13:45:00,9,4,20
289,Station_7,2022-01-27 11:02:00,0,16,20
290,Station_1,2022-01-16 11:17:00,10,13,20
291,Station_5,2022-01-30 01:53:00,11,6,20
292,Station_5,2022-01-08 09:11:00,1,12,20
293,Station_6,2022-01-24 05:11:00,6,5,20
294,Station_6,2022-01-21 00:44:00,17,1,20
295,Station_4,2022-01-23 10:39:00,13,11,20
296,Station_7,2022-01-05 08:23:00,12,19,20
297,Station_6,2022-01-15 12:31:00,14,8,20
298,Station_4,2022-01-27 09:38:00,3,2,20
299,Station_2,2022-01-15 07:08:00,18,16,20
300,Station_2,2022-01-03 00:59:00,4,13,20
301,Station_4,2022-01-01 22:42:00,12,11,20
302,Station_1,2022-01-08 15:24:00,7,14,20
303,Station_1,2022-01-20 14:14:00,19,19,20
304,Station_8,2022-01-18 10:51:00,1,12,20
305,Station_4,2022-01-02 01:20:00,4,1,20
306,Station_3,2022-01-15 08:50:00,12,18,20
307,Station_1,2022-01-02 08:41:00,2,0,20
308,Station_3,2022-01-22 14:40:00,0,19,20
309,Station_4,2022-01-02 08:28:00,7,17,20
310,Station_4,2022-01-12 19:02:00,8,15,20
311,Station_10,2022-01-12 07:21:00,1,10,20
312,Station_1,2022-01-15 06:37:00,14,1,20
313,Station_7,2022-01-02 05:03:00,18,10,20
314,Station_10,2022-01-29 03:43:00,17,4,20
315,Station_6,2022-01-20 02:05:00,1,11,20
316,Station_1,2022-01-27 17:03:00,19,18,20
317,Station_3,2022-01-30 12:30:00,19,13,20
318,Station_3,2022-01-25 12:26:00,10,10,20
319,Station_2,2022-01-08 17:16:00,19,7,20
320,Station_2,2022-01-17 23:19:00,12,16,20
321,Station_10,2022-01-12 04:54:00,5,5,20
322,Station_5,2022-01-18 08:07:00,16,10,20
323,Station_2,2022-01-27 12:16:00,8,15,20
324,Station_8,2022-01-27 23:12:00,8,3,20
325,Station_2,2022-01-08 02:48:00,13,0,20
326,Station_7,2022-01-22 05:54:00,17,16,20
327,Station_7,2022-01-02 03:43:00,19,12,20
328,Station_8,2022-01-14 18:11:00,19,11,20
329,Station_8,2022-01-23 13:33:00,7,6,20
330,Station_1,2022-01-04 00:29:00,1,13,20
331,Station_1,2022-01-07 17:54:00,10,2,20
332,Station_3,2022-01-07 16:44:00,14,15,20
333,Station_3,2022-01-28 08:58:00,8,3,20
334,Station_3,2022-01-13 09:53:00,18,3,20
335,Station_1,2022-01-12 21:22:00,19,5,20
336,Station_3,2022-01-19 05:46:00,9,11,20
337,Station_10,2022-01-13 09:05:00,2,17,20
338,Station_1,2022-01-12 22:56:00,1,4,20
339,Station_9,2022-01-16 11:11:00,5,12,20
340,Station_10,2022-01-20 23:05:00,19,5,20
341,Station_2,2022-01-05 16:07:00,3,3,20
342,Station_1,2022-01-05 18:48:00,8,8,20
343,Station_9,2022-01-27 05:09:00,0,18,20
344,Station_4,2022-01-14 06:13:00,10,17,20
345,Station_5,2022-01-12 08:57:00,6,1,20
346,Station_5,2022-01-13 06:54:00,18,9,20
347,Station_10,2022-01-15 23:56:00,11,9,20
348,Station_9,2022-01-14 18:41:00,1,16,20
349,Station_7,2022-01-08 18:59:00,16,12,20
350,Station_10,2022-01-08 17:25:00,8,4,20
351,Station_6,2022-01-20 12:54:00,8,8,20
352,Station_9,2022-01-05 21:05:00,10,14,20
353,Station_1,2022-01-17 20:36:00,5,9,20
354,Station_7,2022-01-08 22:40:00,7,18,20
355,Station_2,2022-01-23 01:37:00,13,12,20
356,Station_9,2022-01-22 08:04:00,3,2,20
357,Station_5,2022-01-24 13:25:00,12,11,20
358,Station_8,2022-01-08 16:41:00,2,2,20
359,Station_5,2022-01-03 01:13:00,8,15,20
360,Station_9,2022-01-28 18:12:00,17,7,20
361,Station_4,2022-01-16 22:23:00,4,4,20
362,Station_1,2022-01-16 00:51:00,7,11,20
363,Station_9,2022-01-28 01:43:00,0,7,20
364,Station_3,2022-01-20 01:23:00,6,0,20
365,Station_6,2022-01-22 15:38:00,14,0,20
366,Station_7,2022-01-23 08:08:00,3,17,20
367,Station_8,2022-01-15 08:26:00,0,6,20
368,Station_5,2022-01-07 21:47:00,19,18,20
369,Station_5,2022-01-19 22:52:00,8,12,20
370,Station_1,2022-01-21 15:08:00,0,14,20
371,Station_10,2022-01-18 20:36:00,11,0,20
372,Station_10,2022-01-07 05:42:00,11,3,20
373,Station_10,2022-01-24 07:55:00,5,6,20
374,Station_10,2022-01-10 06:34:00,15,12,20
375,Station_3,2022-01-25 18:06:00,14,17,20
376,Station_2,2022-01-01 04:59:00,2,0,20
377,Station_4,2022-01-04 13:38:00,15,13,20
378,Station_8,2022-01-05 04:02:00,5,6,20
379,Station_5,2022-01-08 09:59:00,3,11,20
380,Station_5,2022-01-14 06:05:00,17,15,20
381,Station_3,2022-01-04 18:16:00,10,19,20
382,Station_8,2022-01-16 20:52:00,13,3,20
383,Station_10,2022-01-14 18:25:00,8,12,20
384,Station_9,2022-01-06 22:58:00,12,13,20
385,Station_6,2022-01-05 18:35:00,18,2,20
386,Station_6,2022-01-23 21:53:00,7,1,20
387,Station_3,2022-01-05 20:57:00,16,3,20
388,Station_5,2022-01-25 16:22:00,1,10,20
389,Station_6,2022-01-12 16:23:00,1,8,20
390,Station_4,2022-01-30 20:46:00,6,1,20
391,Station_5,2022-01-09 04:34:00,17,14,20
392,Station_1,2022-01-30 17:40:00,5,6,20
393,Station_3,2022-01-15 13:33:00,9,12,20
394,Station_2,2022-01-02 10:51:00,8,6,20
395,Station_4,2022-01-04 04:44:00,4,10,20
396,Station_6,2022-01-02 17:26:00,1,19,20
397,Station_8,2022-01-15 23:49:00,15,6,20
398,Station_8,2022-01-16 16:34:00,13,16,20
399,Station_8,2022-01-17 08:09:00,8,15,20
400,Station_1,2022-01-13 09:26:00,14,10,20
401,Station_6,2022-01-23 14:35:00,15,11,20
402,Station_2,2022-01-17 21:07:00,11,6,20
403,Station_6,2022-01-05 06:55:00,2,18,20
404,Station_4,2022-01-15 13:47:00,15,19,20
405,Station_5,2022-01-23 12:14:00,19,16,20
406,Station_9,2022-01-06 03:53:00,15,16,20
407,Station_2,2022-01-27 22:22:00,12,16,20
408,Station_6,2022-01-21 17:20:00,11,15,20
409,Station_9,2022-01-14 17:46:00,17,18,20
410,Station_6,2022-01-21 17:07:00,14,19,20
411,Station_10,2022-01-27 22:42:00,6,7,20
412,Station_2,2022-01-30 21:13:00,13,13,20
413,Station_9,2022-01-04 23:53:00,9,19,20
414,Station_9,2022-01-06 06:16:00,2,4,20
415,Station_5,2022-01-04 21:07:00,4,6,20
416,Station_8,2022-01-03 03:54:00,2,13,20
417,Station_9,2022-01-18 00:24:00,17,8,20
418,Station_6,2022-01-22 02:53:00,14,12,20
419,Station_2,2022-01-21 04:34:00,0,3,20
420,Station_1,2022-01-10 18:50:00,13,19,20
421,Station_1,2022-01-06 05:45:00,9,8,20
422,Station_10,2022-01-14 03:23:00,14,10,20
423,Station_5,2022-01-22 22:17:00,2,1,20
424,Station_2,2022-01-13 15:51:00,1,16,20
425,Station_10,2022-01-30 19:55:00,6,9,20
426,Station_1,2022-01-26 20:29:00,18,6,20
427,Station_7,2022-01-28 03:41:00,13,3,20
428,Station_2,2022-01-28 22:25:00,19,16,20
429,Station_5,2022-01-24 00:21:00,11,5,20
430,Station_9,2022-01-04 08:42:00,19,9,20
431,Station_5,2022-01-30 05:19:00,7,10,20
432,Station_5,2022-01-15 05:01:00,7,1,20
433,Station_7,2022-01-29 06:16:00,1,17,20
434,Station_1,2022-01-25 18:09:00,17,5,20
435,Station_9,2022-01-04 01:21:00,9,15,20
436,Station_4,2022-01-10 02:32:00,11,15,20
437,Station_9,2022-01-02 13:06:00,15,5,20
438,Station_6,2022-01-30 01:12:00,6,1,20
439,Station_2,2022-01-02 16:57:00,1,8,20
440,Station_6,2022-01-24 18:32:00,3,14,20
441,Station_1,2022-01-09 17:56:00,9,0,20
442,Station_6,2022-01-07 08:08:00,1,16,20
443,Station_9,2022-01-24 20:41:00,5,1,20
444,Station_7,2022-01-25 06:39:00,5,18,20
445,Station_7,2022-01-07 12:12:00,15,6,20
446,Station_3,2022-01-14 16:58:00,16,2,20
447,Station_3,2022-01-09 05:55:00,10,15,20
448,Station_7,2022-01-21 20:10:00,3,18,20
449,Station_8,2022-01-28 08:16:00,15,1,20
450,Station_9,2022-01-10 15:54:00,1,16,20
451,Station_3,2022-01-16 21:27:00,0,10,20
452,Station_4,2022-01-19 05:02:00,17,8,20
453,Station_10,2022-01-27 14:58:00,4,6,20
454,Station_5,2022-01-23 15:15:00,15,14,20
455,Station_10,2022-01-05 16:26:00,2,3,20
456,Station_6,2022-01-05 07:14:00,18,7,20
457,Station_7,2022-01-23 00:59:00,10,7,20
458,Station_2,2022-01-11 18:22:00,11,0,20
459,Station_3,2022-01-20 22:37:00,15,15,20
460,Station_5,2022-01-15 15:14:00,0,13,20
461,Station_7,2022-01-25 19:36:00,13,11,20
462,Station_6,2022-01-17 11:12:00,7,17,20
463,Station_8,2022-01-10 04:05:00,14,12,20
464,Station_4,2022-01-30 01:07:00,15,0,20
465,Station_6,2022-01-02 17:42:00,5,19,20
466,Station_9,2022-01-12 18:42:00,16,9,20
467,Station_8,2022-01-16 03:52:00,11,0,20
468,Station_3,2022-01-08 19:48:00,0,3,20
469,Station_7,2022-01-15 06:18:00,12,0,20
470,Station_2,2022-01-06 11:39:00,8,18,20
471,Station_9,2022-01-30 23:43:00,5,14,20
472,Station_9,2022-01-07 01:49:00,17,18,20
473,Station_5,2022-01-07 13:11:00,19,10,20
474,Station_1,2022-01-23 09:08:00,2,11,20
475,Station_4,2022-01-10 19:39:00,7,18,20
476,Station_3,2022-01-16 14:19:00,17,18,20
477,Station_9,2022-01-17 07:32:00,16,5,20
478,Station_3,2022-01-12 03:00:00,9,5,20
479,Station_8,2022-01-26 19:45:00,19,11,20
480,Station_1,2022-01-30 18:54:00,9,11,20
481,Station_9,2022-01-28 03:23:00,14,5,20
482,Station_1,2022-01-09 17:11:00,15,7,20
483,Station_10,2022-01-18 15:19:00,15,10,20
484,Station_7,2022-01-25 21:57:00,10,18,20
485,Station_9,2022-01-05 23:29:00,6,0,20
486,Station_1,2022-01-04 03:15:00,19,13,20
487,Station_2,2022-01-22 02:35:00,9,17,20
488,Station_10,2022-01-04 19:46:00,12,17,20
489,Station_10,2022-01-02 17:21:00,8,1,20
490,Station_9,2022-01-04 12:53:00,0,17,20
491,Station_10,2022-01-10 13:32:00,17,19,20
492,Station_4,2022-01-27 06:56:00,9,2,20
493,Station_5,2022-01-07 14:22:00,2,19,20
494,Station_2,2022-01-21 04:25:00,10,8,20
495,Station_1,2022-01-11 09:02:00,12,16,20
496,Station_1,2022-01-04 02:06:00,10,5,20
497,Station_8,2022-01-13 15:27:00,13,11,20
498,Station_8,2022-01-22 02:15:00,18,12,20
499,Station_1,2022-01-26 09:07:00,3,3,20
500,Station_8,2022-01-03 01:35:00,9,3,20
501,Station_5,2022-01-19 10:40:00,16,9,20
502,Station_10,2022-01-19 08:46:00,7,5,20
503,Station_4,2022-01-12 07:50:00,13,16,20
504,Station_1,2022-01-09 22:18:00,3,0,20
505,Station_2,2022-01-01 01:08:00,9,2,20
506,Station_4,2022-01-17 22:06:00,19,18,20
507,Station_4,2022-01-21 11:26:00,6,3,20
508,Station_8,2022-01-21 01:08:00,17,9,20
509,Station_1,2022-01-01 23:25:00,3,7,20
510,Station_8,2022-01-04 07:38:00,17,4,20
511,Station_10,2022-01-23 22:31:00,13,19,20
512,Station_8,2022-01-05 02:29:00,11,12,20
513,Station_5,2022-01-26 22:22:00,16,19,20
514,Station_4,2022-01-26 08:52:00,14,9,20
515,Station_4,2022-01-16 16:17:00,1,3,20
516,Station_5,2022-01-26 18:12:00,19,10,20
517,Station_7,2022-01-02 02:40:00,10,13,20
518,Station_8,2022-01-01 18:20:00,15,11,20
519,Station_9,2022-01-27 15:00:00,12,10,20
520,Station_10,2022-01-26 08:31:00,3,12,20
521,Station_3,2022-01-16 15:18:00,19,14,20
522,Station_9,2022-01-20 02:53:00,8,19,20
523,Station_9,2022-01-30 02:06:00,16,5,20
524,Station_8,2022-01-25 04:43:00,3,16,20
525,Station_9,2022-01-25 13:30:00,5,3,20
526,Station_7,2022-01-17 14:05:00,7,9,20
527,Station_4,2022-01-11 06:18:00,11,7,20
528,Station_2,2022-01-16 12:58:00,5,14,20
529,Station_10,2022-01-02 21:48:00,7,1,20
530,Station_4,2022-01-26 08:26:00,14,2,20
531,Station_4,2022-01-14 04:37:00,2,7,20
532,Station_5,2022-01-23 19:11:00,3,7,20
533,Station_1,2022-01-12 23:51:00,7,6,20
534,Station_9,2022-01-14 13:33:00,3,2,20
535,Station_10,2022-01-02 05:41:00,13,6,20
